timestamp,cpu_percent,memory_percent
2026-02-23 15:21:59,10.1,54.3
2026-02-23 15:22:00,18.3,54.4
2026-02-23 15:22:01,10.9,54.4
2026-02-23 15:22:02,10.8,54.4
2026-02-23 15:22:03,8.9,54.4
2026-02-23 15:22:04,11.0,54.4
2026-02-23 15:22:05,11.9,54.4
2026-02-23 15:22:06,9.8,54.4
2026-02-23 15:22:07,9.5,54.4
2026-02-23 15:22:08,10.8,54.3
2026-02-23 15:22:09,8.1,54.4
2026-02-23 15:22:10,10.5,54.3
2026-02-23 15:22:11,8.1,54.4
2026-02-23 15:22:12,7.4,54.4
2026-02-23 15:22:13,8.9,54.3
2026-02-23 15:22:14,9.1,54.3
2026-02-23 15:22:15,9.5,54.3
2026-02-23 15:22:16,10.9,54.3
2026-02-23 15:22:17,7.1,54.3
2026-02-23 15:22:18,9.8,54.3
2026-02-23 15:22:19,8.2,54.3
2026-02-23 15:22:20,8.6,54.3
2026-02-23 15:22:21,6.7,54.3
2026-02-23 15:22:22,9.2,54.3
2026-02-23 15:22:23,8.2,54.3
2026-02-23 15:22:24,8.0,54.3
2026-02-23 15:22:25,6.0,54.3
2026-02-23 15:22:26,6.7,54.3
2026-02-23 15:22:27,7.9,54.3
2026-02-23 15:22:28,7.0,54.3
2026-02-23 15:22:29,9.7,54.3
2026-02-23 15:22:30,12.3,54.4
2026-02-23 15:22:31,10.3,54.3
2026-02-23 15:22:32,12.4,54.4
2026-02-23 15:22:33,8.8,54.5
2026-02-23 15:22:34,8.5,54.5
2026-02-23 15:22:35,14.0,54.6
2026-02-23 15:22:36,9.8,54.6
2026-02-23 15:22:37,11.7,54.7
2026-02-23 15:22:38,24.3,54.7
2026-02-23 15:22:39,10.0,54.7
2026-02-23 15:22:40,12.4,54.7
2026-02-23 15:22:41,8.7,54.7
2026-02-23 15:22:42,8.8,54.7
2026-02-23 15:22:43,8.6,54.7
2026-02-23 15:22:44,7.8,54.6
2026-02-23 15:22:45,9.8,54.6
2026-02-23 15:22:46,15.6,54.6
2026-02-23 15:22:47,11.6,54.5
2026-02-23 15:22:48,10.8,54.5
2026-02-23 15:22:49,16.1,54.5
2026-02-23 15:22:50,13.6,54.5
2026-02-23 15:22:51,16.8,54.5
2026-02-23 15:22:52,8.0,54.5
2026-02-23 15:22:53,12.8,54.5
2026-02-23 15:22:54,11.7,54.5
2026-02-23 15:22:55,9.5,54.6
2026-02-23 15:22:56,8.7,54.5
2026-02-23 15:22:57,16.1,54.5
2026-02-23 15:22:58,13.6,54.5
2026-02-23 15:22:59,8.4,54.5
2026-02-23 15:23:00,10.9,54.4
2026-02-23 15:23:01,9.1,54.5
2026-02-23 15:23:02,8.5,54.5
2026-02-23 15:23:03,7.8,54.5
2026-02-23 15:23:04,8.9,54.5
2026-02-23 15:23:05,8.5,54.5
2026-02-23 15:23:06,13.6,54.5
2026-02-23 15:23:07,8.9,54.5
2026-02-23 15:23:08,9.8,54.4
2026-02-23 15:23:09,15.3,54.5
2026-02-23 15:23:10,22.8,54.6
2026-02-23 15:23:11,8.0,54.6
2026-02-23 15:23:12,8.1,54.8
